review_reason,symbol,company_name,fmp_sector,fmp_industry,market_cap_b,mcap_tier,description,l1,l2,l3_themes,business_role,prefill_source,confidence,needs_review,boss_notes
soft_low_confidence,VIAV,,,,,,,工业与航天,工业自动化与机械,光通信;6G/卫星通信,网络与光通信测试测量设备供应商，提供光纤及5G/6G网络测试仪器、网络保障软件，以及光学防伪与3D传感滤光片。,llm,0.60,0,? Communication Equipment 测试测量；L2='工业自动化与机械'勉强可接受
soft_low_confidence,WY,,,,,,,地产与公用,工业建材,房地产周期;利率敏感;通胀对冲,威尔豪泽是全球最大林地所有者之一，以REIT形式运营约千万英亩林地并生产木材与工程木制品，价值受房地产/新屋开工周期、利率与林地实物资产价值驱动。,llm,0.60,0,? Weyerhaeuser = timber REIT；L2='工业建材'勉强，taxonomy 无 timber-specific
soft_low_confidence,SANM,Sanmina Corporation,Technology,"Hardware, Equipment & Parts",,,"Sanmina Corporation provides integrated manufacturing solutions, components, products and repair, logistics, and after-market services worldwide. It operates in two businesses, Integrated Manufacturing Solutions; and Components, Products and Services. The company offers product design and engineering, including concept development, detailed design, prototyping, validation, preproduction, manufacturing design release, and product industrialization; assembly and test services; direct order fulfill",AI算力与云,数据中心网络设备,AI算力;AI基建材料,全球电子制造服务(EMS)龙头之一，为云计算、通信、医疗、国防等客户提供集成制造解决方案，受益于AI数据中心硬件代工需求增长,llm,0.60,0,"? Sanmina EMS 客户广泛 (医疗/国防/通信),L1=AI算力可能过窄"
soft_low_confidence,WIT,,,,,,,互联网与软件,企业SaaS,AI应用层,印度大型IT服务与咨询外包商，为全球企业提供数字化转型、应用开发与AI集成集成服务。,llm,0.50,0,✓ Wipro IT 服务集成，企业SaaS 合理
soft_low_confidence,VSAT,,,,,,,互联网与软件,电信运营商,6G/卫星通信;商业航天;地缘政治,全球卫星通信运营商，提供卫星宽带、机载/海事连接及政府国防通信服务（含Inmarsat），核心营收来自卫星网络服务。,llm,0.68,0,✓ Viasat 卫星宽带运营，电信运营商 合理
ok,AIT,"Applied Industrial Technologies, Inc.",Industrials,Industrial - Distribution,,,"Applied Industrial Technologies, Inc. distributes industrial motion, power, control, and automation technology solutions in North America, Australia, New Zealand, and Singapore. It operates through two segments, Service Center Based Distribution, and Fluid Power & Flow Control. The company distributes bearings, power transmission products, engineered fluid power components and systems, specialty flow control solutions, advanced automation products, industrial rubber products, linear motion compo",工业与航天,工业自动化与机械,,,rule,0.70,0,✓ CC sampled OK
ok,ALB,Albemarle Corporation,Basic Materials,Chemicals - Specialty,,,"Albemarle Corporation develops, manufactures, and markets engineered specialty chemicals worldwide. It operates through three segments: Lithium, Bromine, and Catalysts. The Lithium segment offers lithium compounds, including lithium carbonate, lithium hydroxide, lithium chloride, and lithium specialties; and reagents, such as butyllithium and lithium aluminum hydride for use in lithium batteries for consumer electronics and electric vehicles, high performance greases, thermoplastic elastomers fo",能源与材料,化工与气体,,,rule,0.70,0,✓ CC sampled OK
ok,ALGN,"Align Technology, Inc.",Healthcare,Medical - Devices,,,"Align Technology, Inc., a medical device company, designs, manufactures, and markets Invisalign clear aligners and iTero intraoral scanners and services for orthodontists and general practitioner dentists, and restorative and aesthetic dentistry. It operates in two segments, Clear Aligner; and Scanners and Services. The Clear Aligner segment consists of comprehensive products, including Invisalign comprehensive treatment that addresses the orthodontic needs of teenage patients, such as mandibula",创新药与生命科学,医疗器械,,,rule,0.70,0,✓ CC sampled OK
ok,BCH,Banco de Chile,Financial Services,Banks - Regional,,,"Banco de Chile, together with its subsidiaries, provides banking and financial products and services to customers in Chile. It operates through Retail Banking, Wholesale Banking, and Treasury and Money Market segments. The company offers deposit products, such as checking accounts, current accounts, demand deposits and accounts, saving accounts, and time deposits; commercial, mortgage, consumer, working capital, syndicated, and installment loans; and credit cards. It also provides leasing, facto",金融,大型综合银行,,,rule,0.70,0,✓ CC sampled OK
ok,BEN,"Franklin Resources, Inc.",Financial Services,Asset Management,,,"Franklin Resources, Inc. is a publicly owned asset management holding company. Through its subsidiaries, the firm provides its services to individuals, institutions, pension plans, trusts, and partnerships. It launches equity, fixed income, balanced, and multi-asset mutual funds through its subsidiaries. The firm invests in the public equity, fixed income, and alternative markets. Franklin Resources, Inc. was founded in 1947 and is based in San Mateo, California with an additional office in Hyde",金融,资产管理,,,rule,0.70,0,✓ CC sampled OK
ok,BIP,Brookfield Infrastructure Partners L.P.,Utilities,Diversified Utilities,,,"Brookfield Infrastructure Partners L.P. owns and operates utilities, transport, midstream, and data businesses in North and South America, Europe, and the Asia Pacific. The company's Utilities segment operates approximately 61,000 kilometers (km) of operational electricity transmission and distribution lines; 5,300 km of electricity transmission lines; 4,200 km of natural gas pipelines; 7.3 million electricity and natural gas connections; and 360,000 long-term contracted sub-metering services. T",地产与公用,电力与公用,,,rule,0.70,0,✓ CC sampled OK
ok,BLD,TopBuild Corp.,Industrials,Engineering & Construction,,,"TopBuild Corp., together with its subsidiaries, engages in the installation and distribution of insulation and other building products to the construction industry. The company operates in two segments, Installation and Specialty Distribution. It provides insulation products and accessories, glass and windows, rain gutters, afterpaint products, fireproofing products, garage doors, fireplaces, closet shelving, roofing materials, and other products; and insulation installation services. The compan",工业与航天,工程与建筑,,,rule,0.70,0,✓ CC sampled OK
ok,BTSG,"BrightSpring Health Services, Inc. Common Stock",Healthcare,Medical - Healthcare Information Services,,,"BrightSpring Health Services, Inc. operates a home and community-based healthcare services platform in the United States. The company's platform focuses on delivering pharmacy and provider services, including clinical and supportive care in home and community settings to Medicare, Medicaid, and insured populations. It serves patients through clinical providers and pharmacists. BrightSpring Health Services, Inc. was formerly known as Phoenix Parent Holdings Inc. and changed its name to BrightSpri",创新药与生命科学,医保健康服务,,,rule,0.70,0,✓ CC sampled OK
ok,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Apparel - Footwear & Accessories,,,"Deckers Outdoor Corporation, together with its subsidiaries, designs, markets, and distributes footwear, apparel, and accessories for casual lifestyle use and high-performance activities. The company offers premium footwear, apparel, and accessories under the UGG brand name; sandals, shoes, and boots under the Teva brand name; and relaxed casual shoes and sandals under the Sanuk brand name. It also provides footwear and apparel for ultra-runners and athletes under the Hoka brand name; and fashio",消费与零售,可选消费品牌,,,rule,0.70,0,✓ CC sampled OK
ok,DINO,HF Sinclair Corporation,Energy,Oil & Gas Refining & Marketing,,,"HF Sinclair Corporation operates as an independent energy company. It produces and markets gasoline, diesel fuel, jet fuel, renewable diesel, specialty lubricant products, specialty chemicals, specialty and modified asphalt, and others. The company also owns and operates refineries located in Kansas, Oklahoma, New Mexico, Utah, Washington, and Wyoming; and markets its refined products principally in the Southwest United States and Rocky Mountains, Pacific Northwest, and in other neighboring Plai",能源与材料,综合油气,,,rule,0.70,0,✓ CC sampled OK
ok,DRS,"Leonardo DRS, Inc.",Industrials,Aerospace & Defense,,,"Leonardo DRS, Inc., together with its subsidiaries, provides defense products and technologies in the land, air, sea, space, cyber and security, and commercial domains for military applications. It operates in two segments, Advanced Sensing and Computing, and Integrated Mission Systems. The company offers advanced sensor technologies, including infrared systems and sensors for threat detection and situational awareness; uncooled infrared systems and brownout solutions; airborne, ground vehicle m",工业与航天,航空航天与国防,,,rule,0.70,0,✓ CC sampled OK
ok,EMA,Emera Incorporated,Utilities,Regulated Electric,,,"Emera Incorporated, an energy and services company, invests in generation, transmission, and distribution of electricity in the United States, Canada, Barbados, and the Bahamas. The company operates through Florida Electric Utility, Canadian Electric Utilities, Gas Utilities and Infrastructure, Other Electric Utilities, and Other segments. It is also involved in the purchase, transmission, distribution, and sale of natural gas; and physical energy marketing, trading, and other energy asset manag",地产与公用,电力与公用,,,rule,0.70,0,✓ CC sampled OK
ok,IEX,IDEX Corporation,Industrials,Industrial - Machinery,,,"IDEX Corporation, together with its subsidiaries, provides applied solutions worldwide. The company operates through three segments: Fluid & Metering Technologies (FMT), Health & Science Technologies (HST), and Fire & Safety/Diversified Products (FSDP). The FMT segment designs, produces, and distributes positive displacement pumps, small volume provers, flow meters, injectors, and other fluid-handling pump modules and systems, as well as offers flow monitoring and other services for the food, ch",工业与航天,工业自动化与机械,,,rule,0.70,0,✓ CC sampled OK
ok,MKC-V,"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,,,"McCormick & Company, Incorporated manufactures, markets, and distributes spices, seasoning mixes, condiments, and other flavorful products to the food industry. It operates in two segments, Consumer and Flavor Solutions. The Consumer segment offers spices, herbs, and seasonings, as well as condiments and sauces, and desserts. This segment markets its products under the McCormick, French's, Frank's RedHot, Lawry's Cholula Hot Sauce, Gourmet Garden, Club House, and OLD BAY brands in the Americas; ",消费与零售,必需消费品,,,rule,0.70,0,✓ CC sampled OK
ok,NWSA,News Corporation,Communication Services,Entertainment,,,"News Corporation, a media and information services company, creates and distributes authoritative and engaging content, and other products and services for consumers and businesses worldwide. It operates in six segments: Digital Real Estate Services, Subscription Video Services, Dow Jones, Book Publishing, News Media, and Other. The company distributes content and data products, including The Wall Street Journal, Barron's, MarketWatch, Investor's Business Daily, Factiva, Dow Jones Risk & Complia",互联网与软件,流媒体与内容,,,rule,0.70,0,✓ CC sampled OK
ok,PL,Planet Labs PBC,Industrials,Aerospace & Defense,,,"Planet Labs PBC designs, constructs, and launches constellations of satellites with the intent of providing high cadence geospatial data delivered to customers through an online platform worldwide. The company offers Open Geospatial Consortium, a cloud-native proprietary technology that performs critical processing and overall harmonizing of images for time series and data fusion and analysis; and space-based hardware and related software systems. It serves agriculture, mapping, forestry, and fi",工业与航天,航空航天与国防,,,rule,0.70,0,✓ CC sampled OK
ok,RDY,Dr. Reddy's Laboratories Limited,Healthcare,Drug Manufacturers - Specialty & Generic,,,"Dr. Reddy's Laboratories Limited, together with its subsidiaries, operates as an integrated pharmaceutical company worldwide. It operates through Global Generics, Pharmaceutical Services and Active Ingredients (PSAI), Proprietary Products, and Others segments. The company's Global Generics segment manufactures and markets prescription and over-the-counter finished pharmaceutical products that are marketed under a brand name or as a generic finished dosages with therapeutic equivalence to branded",创新药与生命科学,大型制药,,,rule,0.70,0,✓ CC sampled OK
ok,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,Utilities,Regulated Water,,,"Companhia de Saneamento Básico do Estado de São Paulo  SABESP provides water and sewage services to residential, commercial, industrial, and governmental customers. It provides water supply, sanitary sewage, urban rainwater management and drainage, urban cleaning, and solid waste management services, as well as related activities, including the planning, operation, maintenance, and commercialization of energy. As of December 31, 2021, the company provided water services through 9.8 million wate",地产与公用,电力与公用,,,rule,0.70,0,✓ CC sampled OK
ok,SEIC,SEI Investments Company,Financial Services,Asset Management,,,"SEI Investments Company is a publicly owned asset management holding company. Through its subsidiaries, the firm provides wealth management, retirement and investment solutions, asset management, asset administration, investment processing outsourcing solutions, financial services, and investment advisory services to its clients. It provides its services to private banks, independent financial advisers, institutional investors, investment managers, investment advisors, wealth management organiza",金融,资产管理,,,rule,0.70,0,✓ CC sampled OK
ok,WCC,"WESCO International, Inc.",Industrials,Industrial - Distribution,,,"WESCO International, Inc. provides business-to-business distribution, logistics services, and supply chain solutions in the United States, Canada, and internationally. It operates through three segments: Electrical & Electronic Solutions (EES), Communications & Security Solutions (CSS), and Utility and Broadband Solutions (UBS). The EES segment supplies products and supply chain solutions, including electrical equipment and supplies, automation and connected devices, security, lighting, wire and",工业与航天,工业自动化与机械,,,rule,0.70,0,✓ CC sampled OK
ok,VLTO,,,,,,,工业与航天,工业自动化与机械,防御股,全球领先的水质检测与产品识别（标记编码/包装/色彩）精密仪器与耗材龙头，以高经常性收入构成防御型工业复利标的,llm,0.70,0,
ok,AAON,"AAON, Inc.",Industrials,Construction,,,"AAON, Inc., together with its subsidiaries, engages in engineering, manufacturing, marketing, and selling air conditioning and heating equipment in the United States and Canada. The company operates through three segments: AAON Oklahoma, AAON Coil Products, and BasX. It offers rooftop units, data center cooling solutions, cleanroom systems, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal/water-source heat pump",工业与航天,工程与建筑,,,rule,0.70,0,
ok,AEG,Aegon Ltd.,Financial Services,Insurance - Diversified,,,"Aegon Ltd. provides insurance, pensions, and asset management services in the Americas, the Netherlands, and the United Kingdom. The company offers life, accident, and health insurance; savings, pension, annuities, and mutual funds; property and casualty insurance; retirement plans and individual retirement accounts; voluntary employee benefits; and stable value solutions. It also provides debt securities; mortgage loans; derivatives; reinsurance assets; other loans; money market and short-term ",金融,保险,,,rule,0.70,0,
ok,AES,The AES Corporation,Utilities,Independent Power Producers,,,"The AES Corporation operates as a diversified power generation and utility company. It owns and/or operates power plants to generate and sell power to customers, such as utilities, industrial users, and other intermediaries. The company also owns and/or operates utilities to generate or purchase, distribute, transmit, and sell electricity to end-user customers in the residential, commercial, industrial, and governmental sectors; and generates and sells electricity on the wholesale market. It use",地产与公用,电力与公用,,,rule,0.70,0,
ok,AFG,"American Financial Group, Inc.",Financial Services,Insurance - Property & Casualty,,,"American Financial Group, Inc., an insurance holding company, provides specialty property and casualty insurance products in the United States. It offers property and transportation insurance products, such as physical damage and liability coverage for buses and trucks, inland and ocean marine, agricultural-related products, and other commercial property and specialty transportation coverages; specialty casualty insurance, including primarily excess and surplus, executive and professional liabil",金融,保险,,,rule,0.70,0,
ok,AGI,Alamos Gold Inc.,Basic Materials,Gold,,,Alamos gold holding oorperatief u.a. operates as a subsidiary of Alamos Gold Inc.,能源与材料,矿业与金属,,,rule,0.70,0,
ok,AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,,,AGNC Investment Corp. operates as a real estate investment trust (REIT) in the United States. The company invests in residential mortgage pass-through securities and collateralized mortgage obligations for which the principal and interest payments are guaranteed by the United States government-sponsored enterprise or by the United States government agency. It funds its investments primarily through collateralized borrowings structured as repurchase agreements. The company has elected to be taxed,地产与公用,住宅与商业REIT,,,rule,0.70,0,
ok,ALLY,Ally Financial Inc.,Financial Services,Financial - Credit Services,,,"Ally Financial Inc., a digital financial-services company, provides various digital financial products and services to consumer, commercial, and corporate customers primarily in the United States and Canada. It operates through four segments: Automotive Finance Operations, Insurance Operations, Mortgage Finance Operations, and Corporate Finance Operations. The Automotive Finance Operations segment offers automotive financing services, including providing retail installment sales contracts, loans",金融,支付与金融科技,,,rule,0.70,0,
ok,AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,,,"Antero Midstream Corporation owns, operates, and develops midstream energy infrastructure. It operates through Gathering and Processing, and Water Handling segments. The Gathering and Processing segment includes a network of gathering pipelines and compressor stations that collects and processes production from Antero Resources' wells in West Virginia and Ohio. The Water Handling segment delivers fresh water; and offers pumping stations, water storage, and blending facilities. The company was in",能源与材料,综合油气,,,rule,0.70,0,
ok,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,,,"APA Corporation, through its subsidiaries, explores for, develops, and produces oil and gas properties. It has operations in the United States, Egypt, and the United Kingdom, as well as has exploration activities offshore Suriname. The company also operates gathering, processing, and transmission assets in West Texas, as well as holds ownership in four Permian-to-Gulf Coast pipelines. APA Corporation was founded in 1954 and is based in Houston, Texas.",能源与材料,综合油气,,,rule,0.70,0,
ok,APC,ARKO Petroleum Corp. Class A Common Stock,Energy,Oil & Gas Refining & Marketing,,,"ARKO Petroleum Corp. operates as a fuel distributor in North America. The company operates under three segments: wholesale, fleet fueling, and GPMP. It offers fee-based wholesale distribution of motor fuel to Its retail sites and to third-party dealers under long-term contracts. The company was incorporated in 2025 and is based in Richmond, Virginia. ARKO Petroleum Corp. operates as a subsidiary of Arko Convenience Stores LLC.",能源与材料,综合油气,,,rule,0.70,0,
ok,APG,APi Group Corporation,Industrials,Engineering & Construction,,,"APi Group Corporation provides safety, specialty, and industrial services in North America, Europe, Australia, and the Asian-Pacific. It operates through three segments: Safety Services, Specialty Services, and Industrial Services. The Safety Services segment offers safety solutions focusing on end-to-end integrated occupancy systems, such as fire protection solutions; heating, ventilation, and air conditioning solutions; and entry systems, which include the design, installation, inspection, mon",工业与航天,工程与建筑,,,rule,0.70,0,
ok,APOS,"Apollo Global Management, Inc.",Financial Services,Asset Management,,,"Apollo provides innovative capital solutions to businesses and offers a suite of retirement savings products through its retirement services business, Athene.",金融,资产管理,,,rule,0.70,0,
ok,AQNB,Algonquin Power & Utilities Cor,Utilities,Regulated Electric,,,"Algonquin Power & Utilities Corp. is an investment holding company, which engages in energy generation and water distribution facilities. It operates through the Regulated Services Group and Renewable Energy Group segments. The Regulated Services Group segment owns and operates a portfolio of electric, natural gas, water distribution, and wastewater collection utility systems and transmission. The Renewable Energy Group segment focuses on operating a diversified portfolio of renewable and therma",地产与公用,电力与公用,,,rule,0.70,0,
ok,AR,Antero Resources Corporation,Energy,Oil & Gas Exploration & Production,,,"Antero Resources Corporation, an independent oil and natural gas company, acquires, explores for, develops, and produces natural gas, natural gas liquids, and oil properties in the United States. As of December 31, 2021, it had approximately 502,000 net acres in the Appalachian Basin; and 174,000 net acres in the Upper Devonian Shale. The company also owned and operated 494 miles of gas gathering pipelines in the Appalachian Basin; and 21 compressor stations. It had estimated proved reserves of ",能源与材料,综合油气,,,rule,0.70,0,
ok,ARCC,Ares Capital Corporation,Financial Services,Asset Management,,,"Ares Capital Corporation is a business development company specializing in acquisition, recapitalization, mezzanine debt, restructurings, rescue financing, and leveraged buyout transactions of middle market companies. It also makes growth capital and general refinancing. It prefers to make investments in companies engaged in the basic and growth manufacturing, business services, consumer products, health care products and services, and information technology service sectors. The fund will also c",金融,资产管理,,,rule,0.70,0,
ok,ARWR,"Arrowhead Pharmaceuticals, Inc.",Healthcare,Biotechnology,,,"Arrowhead Pharmaceuticals, Inc. develops medicines for the treatment of intractable diseases in the United States. The company's products in pipeline includes ARO-AAT, a RNA interference (RNAi) therapeutic candidate that is in Phase II clinical trial for the treatment of liver diseases associated with alpha-1 antitrypsin deficiency; ARO-APOC3, which is in phase 2b and one phase 3 clinical trial to treat hypertriglyceridemia; ARO-ANG3 that is in Phase 2b clinical trial to reduce production of ang",创新药与生命科学,创新生物科技,,,rule,0.70,0,
ok,ASND,Ascendis Pharma A/S,Healthcare,Biotechnology,,,"Ascendis Pharma A/S, a biopharmaceutical company, focuses on developing therapeutics for unmet medical needs. The company offers SKYTROFA for treating patients with growth hormone deficiency (GHD). It also develops TransCon Growth Hormone (hGH) for pediatric GHD in Japan; TransCon hGH for adults with GHD; TransCon parathyroid hormone for adult hypoparathyroidism; and TransCon CNP for pediatric achondroplasia. In addition, the company develops TransCon toll like receptors 7/8 agonist for intratum",创新药与生命科学,创新生物科技,,,rule,0.70,0,
ok,AXSM,"Axsome Therapeutics, Inc.",Healthcare,Biotechnology,,,"Axsome Therapeutics, Inc., a biopharmaceutical company, engages in the development of novel therapies for central nervous system (CNS) disorders in the United States. The company's product pipeline includes AXS-05, a therapeutic for the treatment of major depressive disorder and resistant depression disorders; and that is in the Phase III clinical trial to treat Alzheimer's disease agitation, as well as that has completed phase II clinical trial for the treatment of smoking cessation. It is also",创新药与生命科学,创新生物科技,,,rule,0.70,0,
ok,BALL,Ball Corporation,Consumer Cyclical,Packaging & Containers,,,"Ball Corporation supplies aluminum packaging products for the beverage, personal care, and household products industries in the United States, Brazil, and internationally. It operates through four segments: Beverage Packaging, North and Central America; Beverage Packaging, Europe, Middle East and Africa; Beverage Packaging, South America; and Aerospace. The company manufactures and sells aluminum beverage containers to fillers of carbonated soft drinks, beer, energy drinks, and other beverages. ",能源与材料,矿业与金属,AI基建材料,全球最大铝制饮料罐供应商，并通过Aerospace部门承接航天系统业务,llm,0.70,0,
ok,BBIO,"BridgeBio Pharma, Inc.",Healthcare,Biotechnology,,,"BridgeBio Pharma, Inc. engages in the discovery, development, and delivery of various medicines for genetic diseases. The company has a pipeline of 30 development programs that include product candidates ranging from early discovery to late-stage development. Its products in development programs include AG10 and BBP-265, a small molecule stabilizer of transthyretin, or TTR that is in Phase 3 clinical trial for the treatment of TTR amyloidosis-cardiomyopathy, or ATTR-CM; BBP-831, a small molecule",创新药与生命科学,创新生物科技,,,rule,0.70,0,
ok,BEKE,KE Holdings Inc.,Real Estate,Real Estate - Services,,,"KE Holdings Inc., through its subsidiaries, engages in operating an integrated online and offline platform for housing transactions and services in the People's Republic of China. It operates through five segments: Existing Home Transaction Services, New Home Transaction Services, Home Renovation and Furnishing, Home rental services, and Emerging and Other Services. The company operates Beike, an integrated online and offline platform for housing transactions and services; Lianjia, a real estate",地产与公用,住宅与商业REIT,中国敞口;房地产周期,中国最大的居住服务平台，运营贝壳和链家，提供二手房、新房交易及家装租赁服务,llm,0.70,0,
ok,BEP,Brookfield Renewable Partners L.P.,Utilities,Renewable Utilities,,,"Brookfield Renewable Partners L.P. owns a portfolio of renewable power generating facilities primarily in North America, Colombia, Brazil, Europe, India, and China. The company generates electricity through hydroelectric, wind, solar, distributed generation, pumped storage, cogeneration, and biomass sources. Its portfolio consists of approximately 21,000 megawatts of installed capacity. Brookfield Renewable Partners Limited operates as the general partner of Brookfield Renewable Partners L.P. Th",能源与材料,新能源,,,rule,0.70,0,
ok,BF-B,Brown-Forman Corporation,Consumer Defensive,Beverages - Wineries & Distilleries,,,"Brown-Forman Corporation, together with its subsidiaries, manufactures, distills, bottles, imports, exports, markets, and sells various alcoholic beverages. It provides spirits, wines, whiskey spirits, whiskey-based flavored liqueurs, ready-to-drink and ready-to-pour products, ready-to-drink cocktails, vodkas, tequilas, champagnes, brandy, bourbons, and liqueurs. The company offers its products primarily under the Jack Daniel's, Reserve, Old Forester, Coopers' Craft, Herradura, el Jimador, New M",消费与零售,必需消费品,,,rule,0.70,0,
ok,BJ,"BJ's Wholesale Club Holdings, Inc.",Consumer Defensive,Discount Stores,,,"BJ's Wholesale Club Holdings, Inc., together with its subsidiaries, operates warehouse clubs on the east coast of the United States. It provides perishable, general merchandise, gasoline, and other ancillary services. The company sells its products through the websites BJs.com, BerkleyJensen.com, Wellsleyfarms.com, and Delivery.bjs.com as well as the mobile app. As of June 10, 2022, it operated 229 warehouse clubs and 160 gas locations in 17 states. The company was formerly known as Beacon Holdi",消费与零售,大型零售,,,rule,0.70,0,
